PolicyId,PrimeCommercialePred
90152948.100a,658.6850839731945
90155397.100a,716.2470727899915
90134225.101a,208.4545647481745
20100125.10c,581.0062727467063
90127333.102a,325.22618710820745
40200015.101a,337.76223793479784
90149757.100c,122.00886712813772
90155699.100a,471.3355434039137
90126099.101b,468.2830593192496
1003124.101a,555.6557972107723
90181063.100c,173.73058513646325
90168369.100b,228.5605134073312
90145552.101b,596.5265624784912
90167675.100b,208.17045948874332
70200098.101b,325.28015750775774
90180727.104a,156.42798033730057
90128700.102a,629.4848922473769
90145214.100a,270.334781177385
90125362.101a,394.0656357962774
90154388.100b,317.71006916303344
90173771.102a,670.8336307542634
90160707.100a,432.85868229968895
90134084.101a,541.4914563926167
90138957.100b,293.778658135727
90176643.100b,474.989967258334
90106074.100a,249.29937721499508
90134866.101e,739.3278064074151
90150438.100a,384.41869115146665
90155635.100a,200.43398489757686
70202625.10a,291.6327919945798
90187090.100a,321.62379598109163
90116151.100b,368.61354222093905
90134337.100b,482.3693554743313
90132201.100a,276.2390969042865
90194882.100c,800.2289371341028
90168720.101b,497.9167436937249
90104480.101a,341.6602294405191
90154029.101a,304.35649660684874
90161002.100b,548.9037099389742
90108405.101a,550.0833122633818
90108128.101a,277.51784634717677
90149057.100a,414.6342166809585
90168984.100a,436.7596529727261
90151190.100a,298.31531405685934
90193793.100b,511.5258608740461
90176214.100b,104.6798413196783
90116068.101a,298.4705503250806
90176362.100a,584.4096100483576
90152556.100b,280.09310445835507
1002052.100a,186.63057173025106
70100060.10c,463.73147390101866
90108504.100a,392.93902072311687
90167745.100e,542.2682334272625
90146294.100a,196.15410054796578
90188774.100a,656.0322949862025
90133029.100a,306.76235772207997
90135431.100b,583.606498296233
90149641.100a,312.5276536772228
90185829.100a,318.94103363612174
90154831.101c,674.9943328618832
90161184.101a,193.40288052503593
90181930.101a,367.5061466785802
90141084.101b,248.0267082192642
90180895.100b,463.67551518673463
90147814.100a,379.40911387468657
90134603.100b,421.90390188883373
90147571.100a,547.2104008649824
90146982.100a,298.070310224519
90180177.101a,233.65346819197887
90134964.100a,344.8089633644119
40200238.101b,372.85262709949336
80200033.101a,365.21435245797676
90146340.100a,647.903505051275
90145435.100a,315.34562769821633
90175964.100a,452.81174020552515
90108005.101b,448.3764039138853
10100157.101a,464.1433789591161
90127366.101a,299.446658928742
90189430.100a,184.1285742889316
90133931.101a,592.4560718956183
90106203.102b,469.07736493234853
90158590.101a,209.75224134719733
90126799.101a,611.0943399198497
90176168.100a,432.2747761922818
90154904.101a,398.0698194126282
90188774.100c,620.39749311705
90179815.100a,252.2523723983453
90145573.100a,416.19715074340957
90190364.100b,334.6099360968836
90137757.100a,723.6709520279499
1007397.101a,262.22246031364784
90141256.100a,471.7295666944487
90153005.100b,477.3779421645663
90147344.100a,253.36303417193335
90125152.101a,367.1215607975588
90145977.100a,458.0598745405523
90147474.100a,370.68748667133605
90182275.100a,284.725010248528
90126299.101b,495.000870114115
90132870.100b,400.4488321923131
90168958.100a,760.542919242638
40201672.102a,423.33294653568186
20100484.10a,292.786668092724
90111656.100a,207.5143738029325
90134397.100b,217.70678438462946
90132948.100c,408.55913758576474
90164863.100b,371.06740644194207
90124877.101a,414.7670245075674
90126088.101b,477.5039953801697
90169850.100a,797.878627999959
90149774.100a,505.8584652303201
90156717.100b,639.1450100201347
90106397.102b,348.1458337719026
90110856.101c,261.01793316908794
90147982.100a,561.5949882915983
80100093.102b,348.84409123742347
90131958.101a,355.56735542876623
90153298.102d,278.8231853296318
90146530.100b,531.2336436315748
90159045.101c,229.06390255344957
90185369.100a,181.2419994625386
90193176.100b,531.745076003532
90145773.101a,450.40444893114733
90180161.100a,359.3576681638856
20100199.10a,308.8771761744283
90104380.100a,614.9618509567963
90152300.100b,224.86735255329245
90155354.100a,261.55285332250395
90110838.100d,326.1058801046223
90105252.101a,349.8828131241846
90163026.100b,492.4103489115167
90132471.100b,227.79073645751637
90109522.101a,204.24237905707793
90149542.100a,547.7536380494207
90148420.100c,282.8842690753782
90109478.100a,371.5384011920118
90135219.100b,584.4664365381833
90119679.101a,150.8113965232613
90135137.100a,306.76961848810646
90153347.100a,408.649309301283
90124873.103a,325.49767706678097
90128365.101b,271.2285024091914
90127991.100a,592.3862372184062
90133878.100a,303.68067404676657
90168907.100a,814.3645166700668
10100005.100a,302.852305566443
60100379.10a,512.0140905772231
90145467.100b,262.1121256144512
90166980.100a,532.5163531388172
90170934.100a,368.4522490144756
90135400.100a,544.0908433496932
90132710.100a,185.08281486913341
90183906.102a,606.0819589996983
90133197.100a,461.0379884101378
90162718.100a,224.44281017983303
90106263.10a,461.3434021281289
90108839.102a,331.88344068610473
90174308.101b,287.60356822533737
90133526.100c,405.9403263888491
70207917.102a,524.3223863060709
90181822.102a,769.6650537888764
90149417.100a,413.262628950262
1000465.100a,308.90407904611646
90104530.101a,207.02150977198224
1000500.101c,574.4671548260387
90156904.100a,586.602426458247
90113441.102b,297.8408786515418
90152350.100a,130.70930763203913
90166859.101b,520.0294602689603
90105916.101a,359.5376681743346
90135387.101b,348.8738741725725
90161148.100a,264.12477742198513
90149359.100a,212.4561295852759
90168487.100a,228.07431348854507
90119062.101b,458.006207194074
90127109.100b,291.21161843551414
50200353.100a,567.1576074168798
90158409.100b,290.0376432236422
90104975.100a,252.12629279821965
90166021.100a,331.5103085627761
90101635.100b,821.2679686860799
90125073.100a,499.2005726903379
90174533.102a,531.0262739582403
90144614.101b,385.0303306423736
90150029.101d,196.3441845821578
90130885.100b,227.3338756652215
90145160.101a,429.74696365057537
90117554.100a,495.6252123314963
90168012.100a,387.8416669009122
90156365.100a,201.422116129785
90157411.100a,251.17687742909425
90118462.101a,435.88045313002084
90105886.10a,380.41660961077247
90156140.100a,377.66657232860916
90134478.100a,377.1247165281061
70200832.10c,265.62240445572814
90145460.100a,719.809819436718
90161087.100a,241.55423463255298
90156635.100a,422.0327967234629
90170148.100a,171.43311219654655
90131555.101a,254.26710257334958
90167790.100a,440.7247043642518
90155802.101a,314.30001842498916
90109674.100b,326.7257124376678
90149987.102a,344.2804828542946
90124595.100c,537.2197400530868
90133096.100b,504.3037193036731
90114434.102c,539.6014874046734
90100259.10b,520.6372624219131
70201717.101b,906.0499999999998
90179944.100a,388.31048930974623
90139817.102a,405.48022603050026
90134804.101b,733.6712270053972
90108332.101b,317.4585708907167
90163195.100b,358.7412393129777
90129169.101a,466.8334687848145
90175995.100b,469.5679928956023
90135219.100a,558.9894238794191
90154324.101b,278.2261703621373
90127258.101a,407.6017144591561
90125955.101a,367.0180452171893
70201012.101a,515.9271493908918
90116466.101a,179.8507034516522
1003191.100a,345.67531905044996
90134109.101c,547.1149077318938
90179690.100b,681.476521771725
90163352.100a,332.3041241721874
90190726.100b,300.7474928144081
90150001.100a,274.28419104184826
90176230.100b,349.9946350611724
90164713.100a,255.77081006171906
90123554.101a,266.8390957560997
90163222.100d,332.3907810036909
90128985.101a,226.73340649741462
90103328.102a,297.1569638663603
90126729.104a,164.97315899141236
90153518.100b,330.4538862012606
90151895.100b,435.51038870913357
90134658.100b,453.6391145547722
90113630.101a,463.09365841797404
90146655.100b,428.21764659552275
90155565.100b,344.7972011343358
90115231.103b,459.1630321945917
90154249.100b,349.6739925712224
90131616.100a,415.5416441079278
90149140.101c,450.6772768694529
90146613.100a,500.4109078616584
90146582.100b,599.7403934151475
90116764.101a,231.9801333920404
90132461.100a,554.9301555933629
90159597.100a,304.87500113245045
90137599.100a,353.68547764002693
90157381.100b,312.13843547356555
90127168.101a,283.8674786443717
90149593.100a,386.4639810581145
90120477.101a,231.47328002919585
70201514.10b,359.9397654575908
90148921.100a,435.2323876452387
90178807.100c,330.4510447928646
40200095.103b,374.6899573097558
90105053.101a,351.74633575509176
90133847.101a,425.1904845255521
90177793.100a,591.6737415651864
90115970.101b,452.22395452035107
90177792.100b,358.2688525201132
90161147.100a,482.55941502397917
90144924.100c,630.0897190477621
1002393.100a,484.6075215003729
90188886.101b,680.3496333768875
90152552.100a,335.23284246271027
90132258.100b,391.1648864152884
90117554.101a,225.58534476871063
90176210.100c,412.86791427449026
1009536.100c,303.52123309190006
90187088.100a,338.36779503805013
90153385.100a,286.4647044485663
90132856.101b,457.73872602864157
90154120.100a,441.43542308420297
90173784.100a,671.902777999594
90158490.100a,425.524093384882
90171805.100a,425.2624033119421
90188812.100a,701.4512594455746
90159027.100a,345.5713594138466
90129468.100a,380.885178277309
90180850.100a,510.8325527618143
90146211.100a,391.87591699848554
90127483.101b,309.67822165852795
90159860.100a,399.21572871344165
90134573.100a,850.2916043611862
90127854.100b,329.7020446307106
90118051.101a,538.3425585464632
90144867.100a,637.9253568394896
20200217.10a,463.0965080511671
90162876.100a,756.4698771462203
90127907.103a,141.69348669658044
90146269.100c,629.6167183324382
90115032.101b,572.3197449831546
90171097.100a,603.1849335646663
90176815.100b,220.17022409653688
90118766.101a,596.4071278727799
90149973.100a,352.86597450599515
90176244.100a,797.2713991672981
90128169.101b,430.24422428890864
90141488.100a,304.88433812645167
90167824.100a,540.1339924037994
90157197.100b,168.0935802810029
90133306.100a,387.46880500845515
90172316.100a,307.4772189908287
90125585.101b,153.48969724881223
90135060.103a,509.0579926881776
90190868.101a,299.14495353897934
90181882.100a,601.5041912229817
90125672.102a,142.79135007780792
90132904.100b,133.92683653506722
90164899.100a,355.66276444391207
90151895.100a,459.2895120604197
90157782.101a,587.4904178217517
90134336.100b,386.4878919328479
90140600.100a,313.7658174606318
70100084.100a,476.7056029847356
90165836.100d,531.0753365916671
90109341.10b,906.0499999999998
90127988.101b,244.4440311281422
90163198.100a,328.7344567367149
1001590.100b,432.08387312059045
90144637.100a,630.8351628819296
1007208.100a,294.65932183978276
90127966.101a,497.197237645969
90146625.101a,311.8072358189827
90100836.101c,342.246899916932
90127475.101b,224.83332057260148
90152384.100c,449.0777489981112
90176050.100a,221.12800378846728
1009210.100a,140.34562198230125
70100038.101c,162.38676964035253
90189393.100a,593.0005326040904
90173881.100a,200.15888077849527
90128708.101b,285.50752542455274
90160705.100b,489.65492448606085
90160895.101a,307.27630881708876
20200415.10b,272.8412792960708
90171829.100b,342.7177747126832
40200227.101a,375.66485281083123
90109524.100a,490.7212938997422
90111313.102a,641.1213174685721
90139819.100b,414.35426566010955
90155144.100b,412.38950711138204
90181541.100b,271.48361360324805
90100843.101a,553.3254315064655
90109686.100a,308.64055761466227
90127659.100b,430.4380469521234
90148378.100a,263.0343005360155
90158049.100a,682.4228689109518
90170849.100a,381.42262769206025
1009305.100c,497.9387935296331
90151825.100a,567.8142985693711
90159111.100b,524.6683665624022
90156038.100a,482.8625851288941
90155975.100a,512.4488342940435
90145885.100c,414.8489205066732
90116664.101b,604.947361639655
90146373.101a,204.98112748793665
90117995.100a,222.79834559302452
90155109.100b,318.16919271344887
90156473.100a,452.8151480959715
50100010.101a,314.1502374854774
90168078.100a,478.31283539038617
90193269.100a,351.28060767779743
90111667.101b,495.2114255517089
90104195.10a,267.83030940871197
90180361.100a,152.30911820089437
90132504.104a,267.9290107514301
90191096.100b,417.1927794722668
60100422.10a,577.2373130944718
90158093.100a,586.2511920446178
90145761.100a,220.7926855177214
90128462.101b,318.6383025932351
90108279.100b,664.4751731561262
90172426.100b,723.91061858028
90163331.100b,215.79635982418074
90174022.100a,618.0732346490008
90109718.100b,273.87637671731676
90157293.100b,294.8219711291619
90111834.101a,262.679607082387
90103785.10a,261.3359983177533
90136865.100c,341.4978215311797
90134051.101c,322.83953515494807
90161419.100a,277.39267896726307
90102832.10a,307.8764906987791
90112464.101a,226.6401138216123
90150390.100a,272.4720137649229
90139488.101a,323.05596424981655
90155606.100b,669.3213995021531
90133291.100a,263.31510442415475
90146377.100a,539.559765892856
90105321.101b,652.7892151324065
90120051.102b,354.29411044791584
90166429.100c,450.80293650126714
90132175.101a,355.85840748563436
90126046.100a,335.45685365030636
90146824.100b,285.2341998172215
90110140.101a,155.32116889918075
90138964.100a,248.20073489504668
90182412.100a,578.8630995519478
90153514.100c,693.9465674260325
90169798.100b,252.83561944170603
90111689.100a,356.3837127118956
60100140.10b,347.0677037504506
90167465.100a,396.6441029597941
90164518.100c,314.4612786612033
90152946.100a,576.7655225437119
90116354.102a,334.0270527601257
90168892.100a,734.1649633857236
90132213.100b,236.2845653770503
1002056.100a,293.0870460924262
90186873.101c,333.32492816918995
90151541.101b,472.4477668834002
90163391.100b,345.14162436813115
90128461.101a,359.59524302624595
90144919.100a,372.7284040421758
90185895.100b,567.6912636419745
90154039.100c,614.5483065669524
90167697.100b,414.09993203263787
90138155.101b,544.6558305376584
1000774.100c,370.79952872911673
90145940.100b,323.4734494620234
40200973.101a,364.9785322162675
90147537.100a,399.8058975897633
90160021.100a,881.5943314813593
1004830.100a,464.7360234528592
90111741.101a,478.86198952923814
90133159.100a,275.9515899789215
90178052.100a,512.4446776346084
90107362.101d,485.7744464824492
1007225.100b,358.08670207110384
90151812.101a,477.9824145838025
90172660.100a,473.7821693672556
90163222.100a,366.47173004332416
90139010.100a,292.85740131287946
90173968.102a,637.9490147777893
90176134.100a,549.4852288000395
90176349.100b,792.1490593839023
90187286.101b,443.261997640287
90159189.100b,212.78882790512506
90113057.101a,123.802944985907
90117976.101b,276.6141147026776
1003291.100b,780.8520351500769
90173810.100b,431.4386271544045
70202630.10c,342.33014724912624
90181482.100b,174.88148541575885
90156380.100a,193.67559306759927
90134927.100c,672.864496511004
90111652.101a,393.96559971332545
90148622.100a,371.6511057820072
90111675.102a,643.3826000687718
90128090.101a,318.6715130803316
90133846.100a,335.5636795665423
90117563.100b,253.73807186034324
90187195.100b,795.4925850889543
90160911.100b,425.0549958945819
90157618.100a,268.6966609888617
90172164.100a,401.9320602640899
70201812.10b,304.5306640818429
90131288.100a,328.54341857960117
90167834.100a,434.98268686740283
90169862.100a,315.1468899510083
10100093.101a,459.1976997676363
90158965.101a,287.3113599291492
90152552.100b,263.27887201865406
90111777.101a,718.3166095650756
90116965.101b,586.876394084197
1002385.100b,705.9847323717438
90150219.100b,525.7840395994939
90126083.101a,149.03773314792357
90110892.101b,590.8190212320634
90167769.100a,585.8510396418195
90119959.101a,391.1253017555388
90157345.100a,257.8033462947576
90151613.100a,324.0705659771708
90191778.100a,701.3180825740257
90153842.100a,225.57985693697353
90109180.101b,302.026096011569
90147878.100a,404.4982417927904
90100838.102b,389.7300529782045
90145913.100a,709.0130516170836
202.101a,338.9457329768753
90156667.100b,374.75390138118547
90134952.100a,341.2792277569338
90153706.100b,242.34292815616413
90135146.100a,525.3124235175305
90156300.100b,345.6895244244741
90128659.100a,231.16541030697033
90157402.101a,906.0499999999998
160.101b,476.20954568455284
90128565.101b,256.4164526061864
90156002.100a,153.69153913137424
90167547.100a,578.8280382654436
90150231.101c,357.6481145790293
90138952.100a,400.5402968799032
90192888.100a,288.1712784132251
90161638.101a,401.7585609361102
90180237.100b,276.4556346197105
90161016.100b,572.7239099545254
80200209.101a,236.47783929578418
90159045.101d,180.09073428366014
50200804.101a,414.9284422986637
90132073.100b,444.6799240461519
90108850.101a,544.1952058273031
10100130.100b,222.0502650759452
90127192.100a,136.38011148611488
90168727.101a,227.24856407811703
90160994.101b,306.8490135060014
1001996.101a,674.8957840453295
90161414.100a,300.2149359051916
90144750.100a,381.4683614790489
90125659.101a,356.3955980698977
90153686.100a,357.599873300731
90146653.100a,253.80535204951275
90132824.101a,515.5793778599848
90134243.101a,373.703215329333
90167328.100a,351.6108201645384
90186944.101a,325.4392369107133
90132762.100a,404.80497583433515
90147771.100a,521.3386922173515
90165307.100a,409.96943658321237
90188063.100b,390.1344753986561
90151277.100b,637.476871668267
90157292.100a,239.15977604598345
90133782.100a,375.6991775716513
90126982.100b,216.34611634251704
90134203.101a,164.91938597155874
90132584.100a,589.2561636024192
90132038.101b,206.6566138131739
90169006.100b,685.3349813560658
90160765.100a,298.2533352372194
90146832.100c,417.8742603937272
90111685.101a,480.6459459588988
90180310.102a,155.43515317042238
90133898.101a,351.2770200315604
90144750.100b,345.9889977411588
90179846.102a,225.13101331317554
90149294.100c,413.8106066864075
90181872.102b,431.1410293505916
90147294.100a,360.5974108856713
40200973.101b,327.2634949322809
90155601.101a,314.3202340172759
90190027.100b,388.21062497907263
90162876.100c,756.4698771462203
90134944.100a,655.5353827476996
70205919.101a,483.91908018898596
90172048.100a,265.7622850625866
90138489.100a,598.6375915114924
90125009.101a,158.1487175368113
90185776.100a,896.9921841419605
90106796.10a,135.95903586650962
90127906.101b,365.9730710704283
90153125.100b,357.56026697541245
90164574.100a,378.14275074222024
90108036.102a,195.3170368482861
90190055.100b,560.5724158757685
90148101.100c,364.986895128946
90120256.101a,600.009657738245
90121354.101a,265.7317909340044
90194741.100a,190.3494243628217
90110366.10a,388.8117639768445
90170563.100a,313.5519892120797
90119189.101a,613.2284329353088
90146997.100a,386.71314336904993
90146122.100a,184.7095587475105
90147264.101a,288.33954543095274
90104720.100a,513.5919337694739
90167743.101c,413.30886126591815
1007609.100a,426.628308238203
90108925.101b,201.9334459545142
90133931.100c,148.60844612736656
90184091.100a,505.11458644016835
90146650.100a,346.50756330949133
90174460.100b,234.6015659631496
90109498.101a,491.62325707921434
90134531.101a,455.7776453650208
90134010.100a,474.2032972133802
90180117.100a,306.6916314257145
1011141.100a,296.74031109466677
90166246.100a,232.65533947072043
1002862.100a,224.58231893321283
90191183.100a,520.5425922014772
90190011.100c,295.65353838518797
90169076.100a,632.2907153149188
90171012.100a,583.9003881244795
90153034.101a,157.50905428056453
90108027.102b,588.9641152274747
90157514.100a,368.56474238449726
90116458.101b,211.5932554967597
90139023.100d,373.27594952294015
1001459.100a,376.7508648970069
90159294.100a,716.9905476577621
90155653.100a,357.72778191269737
90132209.100b,406.6349520364622
90158270.100a,241.14360849004382
90163248.100b,906.0499999999998
90148007.100c,571.6684425533507
90145474.100a,544.8108900882844
90194846.100a,677.8745915617968
90128752.101a,383.62620333893886
90166337.100c,404.77139421537464
90169978.100b,252.43114809852455
90158219.100b,323.9846458071678
161.100a,754.8922431475838
90145920.100b,579.0469652235538
90157053.100a,457.6566109039328
90134220.102a,383.9969710936497
90162772.100a,311.7771125286764
90141483.100a,310.37552795805806
90123575.100a,384.23086260521825
90186129.100a,404.24445467082273
30200103.101b,625.1913611958345
90134816.100a,742.24561785972
90147522.100a,208.08224125708682
90180136.100a,325.5334632756507
90165067.100a,457.1875227039117
90180436.100a,503.34668309789066
90127097.101a,210.14203921213027
90167393.100a,431.118340316368
90152530.100a,369.8373902215636
90126058.100a,303.2406159370407
90154446.100a,305.440718547091
90124664.101b,415.3477359905162
90168935.100a,453.78137244835847
90134668.100c,311.7736109751436
90138456.100b,667.7074952519056
90160803.100a,161.97412578751914
90128461.101b,377.2481263639992
90105081.101a,768.9730814717401
90153270.100b,641.5284635447272
90154356.100a,906.0499999999998
90113330.101a,270.09315489610594
90177910.100b,538.7800060116219
90133441.100a,259.654111845213
90131719.101a,149.05412320740675
90137822.102b,388.3050113736753
90134045.100a,238.00887724810667
90151521.100a,488.1804406361421
90154202.100b,251.59396512175869
90170189.101a,374.0743707075385
90182074.101b,296.7458847167223
90172002.100a,205.2624763669069
90165019.100a,293.61469896274923
90126062.101a,581.4141227157181
90156025.100b,199.22157293364387
90168887.100a,564.9616547212729
90157481.100b,519.1510468410072
1002877.100b,381.6720948697353
90150436.100a,422.20197205215135
90149794.100b,326.32013966431714
90187927.100b,609.5774212142263
90133831.100b,278.8500424394306
90156379.100a,441.60949442957224
90153216.100c,402.83912226918494
10100145.100a,282.19513522774855
90108466.100b,642.352431315715
90108240.101a,418.11751021835937
90157491.101a,585.9942705218443
90135446.101c,402.4854758201574
20200206.100a,452.3790529264696
90132253.100a,223.59019509487453
90182279.100b,347.42834277557444
90125283.101a,473.6553415894597
90181884.100a,383.32364794174833
90194672.100b,664.5402364803201
90147919.100b,731.4127030602023
90112238.101b,414.5242647775743
90165663.100b,225.390096154096
90156013.102a,348.5743298422954
90102838.101a,526.0034573234029
90141545.100a,169.55318790001525
90147310.100a,159.48581241243664
90127471.101b,243.37024547545292
90156623.100a,575.339424476422
90178897.100a,587.3512298755967
90132099.102a,316.9000893139314
90108414.101b,326.5049977802929
90164564.100a,435.8655057790016
60200042.100a,261.5321513706105
90160854.100b,206.45348912256753
1003474.100a,368.2452339699119
90167973.100b,411.0272570109551
90152901.101a,244.22875567566052
90182085.101a,294.93607398607605
90158228.100b,570.7540724410057
90148918.100b,357.66130405135965
90109134.10a,242.59384412671264
90175845.105a,327.0457374812876
90149987.101a,425.49314519333706
90153973.100a,264.2333029638179
90160159.100b,253.43219851680314
90107958.101a,237.79220388098602
90138220.101b,711.699534484907
90156571.100b,204.06643423729147
40100296.100c,276.6110156390893
90180127.100c,501.13108630230585
90132883.100b,181.06591879268368
90194450.100a,356.13544361339956
90114035.101a,408.9551335285343
90182279.100a,386.1101426716225
90133830.100d,521.2245619634996
90146524.100b,354.25053250224687
90104512.100b,725.5820505460889
90134888.100b,291.5329526201628
90141522.100a,290.0884320638829
90108770.10a,341.5915598986207
90101243.101a,557.0388864161322
90155419.100a,165.670069271971
90134213.100a,348.3462934243449
90126719.102b,209.40751834606868
90134564.100b,421.8864242731558
90158046.100b,446.90564371276247
90159844.100a,464.20179519383277
90110417.101a,293.3024478252586
90145984.100a,577.5685017796862
90127505.101c,307.36016602686
90139541.101a,622.5499390003265
90184170.101a,264.7678179908642
90155671.100a,431.48572772342055
90181482.100a,181.61122718814912
90166830.100a,591.9749580243871
90110907.101a,502.6737484868291
90108501.101b,330.1519062890538
90156037.100a,205.19962748836875
90137628.100c,333.62106022955015
90132613.100a,182.1254544566688
90172981.100a,480.36889257491833
90127973.100a,352.84025759771777
90106281.100b,296.6391572676126
90156405.100b,735.6337570463992
90106752.10a,321.33920681085516
90127527.101a,593.4004605344196
90100195.10a,419.84394939703293
90103940.100b,529.5285408185272
90165788.100b,321.6748790041324
90183843.100a,849.5644813092036
90133477.100a,561.0682947280488
90186809.100a,701.5964692677899
90194448.100a,699.397989260066
90177889.100c,530.3234299184165
1000471.100b,378.7544507648937
90103976.100a,192.12056279917587
90163354.100a,404.261638163278
90133392.100b,403.31914623990554
90170640.100a,206.24641087192154
90139259.100a,298.83421837807055
90134579.100a,364.9280141268991
90167856.100a,323.34796065322547
90156122.100a,231.84075199903364
90107862.101a,494.4929013605939
90181589.101a,423.41850208150294
90153790.100b,562.2694089459143
90150418.100a,481.742002850471
90152124.100b,527.480014739166
90175758.100a,237.44146626233126
90131736.101b,177.3643205778719
90159547.100c,345.87744931175047
90158787.100b,531.6818542664315
90161152.100a,531.3764604947688
90159962.100b,391.2615670491379
90184864.102a,523.0262652969326
90140558.100c,450.90922564623503
90111542.100a,463.5493421417147
90160059.103a,452.612919183712
90170351.100c,542.2124414026378
90181976.100a,312.5778032238509
90149202.100a,559.9835753149077
90152763.100a,348.5025166483094
90175967.101c,580.2281813620363
90159200.100a,358.3887710183694
90170041.101a,169.875893572472
90127302.101b,255.47777967843732
90189452.100a,322.2603174995815
90111522.101a,171.9202550562829
90135271.100a,496.8097809116683
1002631.100a,247.23530406832538
90191765.100a,369.3218078912679
90134393.100b,237.7986371560728
80200109.100a,302.8316853802768
90104427.102a,153.68923793887177
90188847.101a,294.37839370045185
90120556.101b,531.6899624727565
90110330.10b,419.1756491782738
90133337.100c,441.70592674650305
90183171.100b,906.0499999999998
90144669.102a,439.1475059932377
90126860.101b,222.06517747537353
90157735.100a,581.3520866630465
90187772.102b,532.4638772174254
90144694.100a,340.13791538492643
90147744.100b,744.0731673788805
90108260.101b,428.77248587601974
1001780.100a,468.66923374344753
90191217.100a,598.4647326883625
90187876.100c,270.8494517901004
90154493.100b,349.26298672126256
90108091.102b,501.6284016838688
90161229.101a,207.8406983118112
90134930.102a,632.2847323449859
195.100a,366.7971026735313
90160281.100f,443.59237090807187
90116664.102a,377.7770161839419
80200714.101a,324.53640836819045
90103576.10a,430.3689291547992
90153335.100a,293.4059552488256
90108782.101a,333.63703895322294
90175911.100b,520.6935521134471
90171814.101b,343.1681753294912
20100160.104a,639.9611825936463
90175869.100b,455.3138507078789
90153795.100a,496.9953334571172
90127470.101c,432.6065527242784
90174266.100a,425.11220282251753
90160322.101a,227.93175606005624
90154229.100a,298.8064738596916
90108410.101a,457.0476940999202
90103664.100a,187.15426437442568
90144740.100a,295.70029568384143
90163016.100a,317.64793926425835
90103430.100b,294.18075787429984
1011368.101a,348.1362588340003
90160616.100c,286.4624283052689
90127297.102a,271.6431087322836
90159045.100b,168.92538416061217
90187993.100a,382.67703598341944
90190583.100b,317.8628112607978
90103934.101a,256.1108785496369
1002165.100b,350.2143159730061
90101734.101b,410.1427373178205
90177764.100b,343.09959565849744
90118557.101a,285.047902692405
90105225.102a,522.1747792580765
90129175.101c,528.016631857562
90176393.100b,427.679549903193
90164592.102a,331.5773286045577
50200305.101b,508.31580068669257
1002877.100a,423.9209346932156
90154766.100a,220.1485846044764
